year,occurrence_loss,aggregate_loss,n_events
803,13421985.117011957,13421985.117011957,1
804,0.0,0.0,0
805,8690505.322732758,8690505.322732758,1
806,0.0,0.0,0
807,0.0,0.0,0
808,11878730.741301032,11878730.741301032,1
809,0.0,0.0,0
810,116523867.0123063,116523867.0123063,1
811,274058692.03256583,410551667.1621456,4
812,4755125.657537802,4755125.657537802,1
813,16887704.62280006,31383386.656625465,2
814,101348482.60396653,111390628.60237622,2
815,28538032.39108893,28538032.39108893,1
816,0.0,0.0,0
817,0.0,0.0,0
818,0.0,0.0,0
819,0.0,0.0,0
820,6527792.478127748,6527792.478127748,1
821,0.0,0.0,0
822,14128361.669668384,14128361.669668384,1
823,17379394.173181348,29587599.81233518,2
824,53815158.625362016,59480957.03445726,2
825,7443029.238393913,7443029.238393913,1
826,0.0,0.0,0
827,0.0,0.0,0
828,0.0,0.0,0
